distance_um,u_mhz,u_r6_guide_mhz,dense_minus_r6_mhz,relative_r6_deviation_percent,effective_c6_ghz_um6
3.0,100.82541131973267,100.93202791771623,-0.10661659798356027,-0.10563207753090856,73.50172485208512
3.1,82.93545341491699,82.90607681661561,0.029376598301382728,0.03543358874206821,73.60552019114286
3.2,68.60913896560669,68.52620127798532,0.08293768762136722,0.12103062197322138,73.66850201600003
3.3,57.07205390930176,56.97349846701088,0.09855544229088053,0.17298471209021274,73.70672954890443
3.4,47.727667808532715,47.630268006700945,0.0973998018317701,0.20449139991836127,73.72991199600237
3.5,40.116117000579834,40.02655946526505,0.08955753531478194,0.22374527441585318,73.74407889064402
3.6,33.880518436431885,33.8019319318912,0.07858650454068794,0.232491162632464,73.75051406694728
3.8,24.496362686157227,24.437397197434493,0.058965488722733994,0.24129201750227458,73.75698968741075
4.0,18.007189750671387,17.963732507816193,0.04345724285519381,0.2419165551273108,73.75744921875
4.25,12.515849590301514,12.48598897634861,0.029860613952903847,0.2391529738610762,73.75541579089953
4.5,8.881859302520752,8.860973644353688,0.02088565816706378,0.23570387414900343,73.7528779623583
5.0,4.7199249267578125,4.709084694528968,0.010840232228844116,0.23019828548503993,73.74882698059082
